danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min,is_short_track,energy_x_danceability,acoustic_minus_energy,explicit_int,macro_classical,macro_electronic,macro_folk_country,macro_hiphop_rnb,macro_jazz_blues,macro_latin,macro_metal,macro_mood_other,macro_pop,macro_reggae,macro_rock,macro_world,key_0,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,ts_3,ts_4,ts_5,popularity,is_hit
0.815,0.421,-8.125,1,0.0352,0.491,4.41e-06,0.117,0.543,140.01,4.540883333333333,0,0.34311499999999995,0.07,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,59,0
0.657,0.648,-6.233,1,0.0547,0.403,1.42e-05,0.432,0.262,154.2,4.184,0,0.42573600000000006,-0.245,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,32,0
0.687,0.903,-6.56,0,0.075,0.143,0.00517,0.122,0.812,99.994,5.246333333333333,0,0.620361,-0.76,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,21,0
0.619,0.737,-7.987,1,0.0585,0.191,0.0,0.343,0.914,154.499,2.314433333333333,1,0.45620299999999997,-0.546,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,0
0.529,0.834,-6.534,1,0.0378,3.44e-05,0.000392,0.145,0.51,102.028,4.910666666666667,0,0.441186,-0.8339656,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,0
0.604,0.726,-8.577,0,0.0494,0.476,0.0,0.905,0.782,148.007,3.2373333333333334,0,0.43850399999999995,-0.25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,43,0
0.504,0.822,-4.201,0,0.0576,0.172,0.0,0.129,0.882,174.01,3.32955,0,0.414288,-0.6499999999999999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,42,0
0.35,0.859,-3.593,1,0.183,0.0177,2.14e-06,0.135,0.256,149.966,3.0933333333333333,0,0.30065,-0.8412999999999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,19,0
0.472,0.805,-5.793,1,0.086,0.0491,0.0162,0.337,0.512,94.922,4.213333333333333,0,0.37996,-0.7559,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,57,0
0.662,0.65,-7.135,0,0.0325,0.767,6.26e-06,0.768,0.781,159.928,5.394983333333333,0,0.4303,0.11699999999999999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,36,0
0.227,0.413,-8.136,1,0.0357,0.977,0.0134,0.13,0.0931,75.68,4.016,0,0.093751,0.5640000000000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,20,0
0.624,0.888,-5.909,0,0.0474,0.0975,0.313,0.0899,0.278,126.081,3.7777666666666665,0,0.554112,-0.7905,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,60,0
0.22,0.386,-9.602,1,0.0334,0.74,0.00015,0.14,0.108,82.744,3.28555,0,0.08492000000000001,0.354,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,25,0
0.492,0.849,-6.991,0,0.33,0.078,0.0,0.146,0.696,94.081,2.87675,0,0.41770799999999997,-0.771,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,47,0
0.781,0.768,-5.525,0,0.183,0.744,5.92e-06,0.11,0.816,143.156,2.5188,0,0.599808,-0.02400000000000002,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,63,0
